year,quarter,name,sales
2019,4,남부순환로58길,39973043
2019,1,남부순환로70길,71893484
2019,2,남부순환로70길,84220160
2019,3,남부순환로70길,96534069
2019,4,남부순환로70길,76580277
2019,1,남부순환로88길,19628130
2019,2,남부순환로88길,23100065
2019,3,남부순환로88길,21966075
2019,4,남부순환로88길,10954595
2019,1,남부순환로97길,180214831
2019,2,남부순환로97길,192495552
2019,3,남부순환로97길,198027714
2019,4,남부순환로97길,230836328
2019,1,남성사계시장,504470510
2019,2,남성사계시장,606615125
2019,3,남성사계시장,635038494
2019,4,남성사계시장,433696223
2019,1,남성역골목시장,70346439
2019,2,남성역골목시장,85760974
2019,3,남성역골목시장,96713242
2019,4,남성역골목시장,67422800
2019,1,남영역,652742239
2019,2,남영역,757979313
2019,3,남영역,770392813
2019,4,남영역,838710310
2019,1,남현2길,21713071
2019,2,남현2길,22674265
2019,3,남현2길,19027032
2019,4,남현2길,75573453
2019,1,남현3길,89937964
2019,2,남현3길,120824676
2019,3,남현3길,144096428
2019,4,남현3길,99911572
2019,1,남현길,25894554
2019,2,남현길,32439072
2019,3,남현길,30845792
2019,4,남현길,23804173
2019,1,노량진중앙시장,418926538
2019,2,노량진중앙시장,464124103
2019,3,노량진중앙시장,446526763
2019,4,노량진중앙시장,313275262
2019,1,노해로17길,12560793
2019,2,노해로17길,8612296
2019,3,노해로17길,16792974
2019,4,노해로17길,7483643
2019,1,노해로60길,217344234
2019,2,노해로60길,250649499
2019,3,노해로60길,253660227
2019,4,노해로60길,265118637
2019,1,노해로63다길,38879744
2019,2,노해로63다길,20573640
2019,3,노해로63다길,31076510
2019,4,노해로63다길,172325969
2019,1,녹사평대로11길,15787294
2019,2,녹사평대로11길,16627170
2019,3,녹사평대로11길,16983721
2019,4,녹사평대로11길,15280199
2019,1,녹사평대로26길,140538204
2019,2,녹사평대로26길,248175059
2019,3,녹사평대로26길,494977604
2019,4,녹사평대로26길,657697223
2019,1,녹사평대로32길,206788451
2019,2,녹사평대로32길,183504347
2019,3,녹사평대로32길,186736630
2019,4,녹사평대로32길,159711063
2019,1,녹사평대로40나길,193034644
2019,2,녹사평대로40나길,153590030
2019,3,녹사평대로40나길,157772650
2019,4,녹사평대로40나길,217386627
2019,1,녹사평대로46길,505649881
2019,2,녹사평대로46길,711125346
